source	reading	korean	category	evidence	confidence	notes
コトブキパス	コトブキパス	코토부키 패스	item_name	00/359:41	high	기존 대사 용례 유지
ぼうじスーツ	ぼうじスーツ	방자 슈트	item_name	00/359:42	high	기존 대사 용례 유지
電磁ビット042	でんじビットゼロヨンニ	전자 비트 042	item_name	00/359:43	high	연번 형식 보존
電磁ビット082	でんじビットゼロハチニ	전자 비트 082	item_name	00/359:44	high	연번 형식 보존
電磁ビット093	でんじビットゼロキュウサン	전자 비트 093	item_name	00/359:45	high	연번 형식 보존
電磁ビット201	でんじビットニゼロイチ	전자 비트 201	item_name	00/359:46	high	연번 형식 보존
電磁ビット232	でんじビットニサンニ	전자 비트 232	item_name	00/359:47	high	연번 형식 보존
電磁ビット243	でんじビットニヨンサン	전자 비트 243	item_name	00/359:48	high	연번 형식 보존
電磁ビット253	でんじビットニゴサン	전자 비트 253	item_name	00/359:49	high	연번 형식 보존
電磁ビット271	でんじビットニナナイチ	전자 비트 271	item_name	00/359:50	high	연번 형식 보존
電磁ビットEV	でんじビットイーブイ	전자 비트 EV	item_name	00/359:51	high	엘리베이터용 식별자 보존
ラヴレター	ラヴレター	러브레터	item_name	00/359:52	high	기존 대사 용례 유지
オオゲンゴロウ	オオゲンゴロウ	왕물방개	item_name	00/359:53	high	기존 덴산 왕물방개 용례와 통일
アジーナのなみだ	アジーナのなみだ	아지나의 눈물	item_name	00/359:54	high	
キングストーン	キングストーン	킹 스톤	item_name	00/359:55	high	
びじょのたそがれ	びじょのたそがれ	미녀의 황혼	item_name	00/359:56	high	
つわもののデータ	つわもののデータ	강자 데이터	item_name	00/359:57	high	설명문의 강자 표현과 통일
サブライセンス	サブライセンス	서브 라이선스	item_name	00/359:58	high	
フリーパス	フリーパス	프리 패스	item_name	00/359:64	high	
ゲートキーA	ゲートキーエー	게이트 키 A	item_name	00/359:65	high	
ゲートキーB	ゲートキービー	게이트 키 B	item_name	00/359:66	high	
ゲートキーC	ゲートキーシー	게이트 키 C	item_name	00/359:67	high	
ゲートキーD	ゲートキーディー	게이트 키 D	item_name	00/359:68	high	
バグのかけら	バグのかけら	버그 조각	item_name	00/359:69	high	기존 대사 용례 유지
メイルのPコード	メイルのピーコード	메일 P코드	item_name	00/359:80	high	
デカオのPコード	デカオのピーコード	데카오 P코드	item_name	00/359:81	high	
やいとのPコード	やいとのピーコード	야이토 P코드	item_name	00/359:82	high	
ケロのPコード	ケロのピーコード	케로 P코드	item_name	00/359:83	high	
ラウルのPコード	ラウルのピーコード	라울 P코드	item_name	00/359:84	high	
ミリオネPコード	ミリオネピーコード	밀리어네어 P코드	item_name	00/359:85	high	표시 폭 때문에 축약된 원문을 정식 인명으로 번역
ONBAPコード	オーエヌビーエーピーコード	ONBA P코드	item_name	00/359:86	high	영문 약자 보존
ゴスペルPコード	ゴスペルピーコード	고스펠 P코드	item_name	00/359:87	high	
あきはらきっぷ	あきはらきっぷ	아키하라 표	item_name	00/359:88	high	
マリンきっぷ	マリンきっぷ	마린 표	item_name	00/359:89	high	
おくデンきっぷ	おくデンきっぷ	오쿠덴 표	item_name	00/359:90	high	
くうこうきっぷ	くうこうきっぷ	공항 표	item_name	00/359:91	high	
HPメモリ	エイチピーメモリ	HP 메모리	item_name	00/359:96	high	
バスターUP	バスターアップ	버스터 UP	item_name	00/359:97	high	
レギュラーUP1	レギュラーアップワン	레귤러 UP1	item_name	00/359:98	high	숫자 접미사 보존
レギュラーUP2	レギュラーアップツー	레귤러 UP2	item_name	00/359:99	high	숫자 접미사 보존
レギュラーUP3	レギュラーアップスリー	레귤러 UP3	item_name	00/359:100	high	숫자 접미사 보존
サブメモリ	サブメモリ	서브 메모리	item_name	00/359:101	high	
シノビダッシュ	シノビダッシュ	시노비 대시	item_name	00/359:114	high	
アントラップ	アントラップ	언트랩	item_name	00/359:115	high	기능 의미가 드러나는 영어 Untrap 음역
エネミーサーチ	エネミーサーチ	에너미 서치	item_name	00/359:116	high	
オープンロック	オープンロック	오픈 록	item_name	00/359:117	high	
ノーマルスタイル	ノーマルスタイル	노멀 스타일	style_name	00/359:128	high	
エレキガッツ	エレキガッツ	일렉 거츠	style_name	00/359:134	high	속성·스타일 계열 표기
ヒートガッツ	ヒートガッツ	히트 거츠	style_name	00/359:135	high	속성·스타일 계열 표기
アクアガッツ	アクアガッツ	아쿠아 거츠	style_name	00/359:136	high	속성·스타일 계열 표기
ウッドガッツ	ウッドガッツ	우드 거츠	style_name	00/359:137	high	속성·스타일 계열 표기
エレキカスタム	エレキカスタム	일렉 커스텀	style_name	00/359:139	high	속성·스타일 계열 표기
ヒートカスタム	ヒートカスタム	히트 커스텀	style_name	00/359:140	high	속성·스타일 계열 표기
アクアカスタム	アクアカスタム	아쿠아 커스텀	style_name	00/359:141	high	속성·스타일 계열 표기
ウッドカスタム	ウッドカスタム	우드 커스텀	style_name	00/359:142	high	속성·스타일 계열 표기
エレキブラザー	エレキブラザー	일렉 브라더	style_name	00/359:144	high	속성·스타일 계열 표기
ヒートブラザー	ヒートブラザー	히트 브라더	style_name	00/359:145	high	속성·스타일 계열 표기
アクアブラザー	アクアブラザー	아쿠아 브라더	style_name	00/359:146	high	속성·스타일 계열 표기
ウッドブラザー	ウッドブラザー	우드 브라더	style_name	00/359:147	high	속성·스타일 계열 표기
エレキシールド	エレキシールド	일렉 실드	style_name	00/359:149	high	속성·스타일 계열 표기
ヒートシールド	ヒートシールド	히트 실드	style_name	00/359:150	high	속성·스타일 계열 표기
アクアシールド	アクアシールド	아쿠아 실드	style_name	00/359:151	high	속성·스타일 계열 표기
ウッドシールド	ウッドシールド	우드 실드	style_name	00/359:152	high	속성·스타일 계열 표기
サイトスタイル	サイトスタイル	사이토 스타일	style_name	00/359:153	high	히카리 사이토의 이름에서 유래
うそメッセージです	うそメッセージです	거짓 메시지입니다	system_label	00/362:0	high	더미 메시지 표기
メトロ秋原駅	メトロあきはらえき	메트로 아키하라역	location_name	00/362:2	high	
熱斗のリビング	ねっとのリビング	넷토의 거실	location_name	00/362:3	high	
熱斗のへや	ねっとのへや	넷토의 방	location_name	00/362:4	high	
メイルのリビング	メイルのリビング	메일의 거실	location_name	00/362:5	high	
メイルのへや	メイルのへや	메일의 방	location_name	00/362:6	high	
デカオのへや	デカオのへや	데카오의 방	location_name	00/362:7	high	
やいとのへや	やいとのへや	야이토의 방	location_name	00/362:8	high	
やいとのおフロ	やいとのおフロ	야이토의 욕실	location_name	00/362:9	high	
5A教室	ごエーきょうしつ	5A 교실	location_name	00/362:10	high	
やいとのいえろうか	やいとのいえろうか	야이토네 복도	location_name	00/362:11	high	
メトロマリン駅	メトロマリンえき	메트로 마린역	location_name	00/362:14	high	
ロビー	ロビー	로비	location_name	00/362:15	high	
ライセンス じむきょく	ライセンス じむきょく	라이선스 사무국	location_name	00/362:16	high	
しけんべや	しけんべや	시험실	location_name	00/362:17	high	
パパの研究室	パパのけんきゅうしつ	아빠의 연구실	location_name	00/362:18	high	
マザーコンピュータべや	マザーコンピュータべや	마더 컴퓨터실	location_name	00/362:20	high	기존 마더 컴퓨터실 용례 유지
メトロおくデンだに駅	メトロおくデンだにえき	메트로 오쿠덴 계곡역	location_name	00/362:21	high	
キャンプじょう入口	キャンプじょういりぐち	캠핑장 입구	location_name	00/362:22	high	
キャンプじょうへのみち1	キャンプじょうへのみちいち	캠핑장 가는 길 1	location_name	00/362:23	high	
キャンプじょうへのみち2	キャンプじょうへのみちに	캠핑장 가는 길 2	location_name	00/362:24	high	
キャンプじょう	キャンプじょう	캠핑장	location_name	00/362:25	high	
おくデンダム	おくデンダム	오쿠덴 댐	location_name	00/362:26	high	
デンサンくうこう入口	デンサンくうこういりぐち	덴산 공항 입구	location_name	00/362:27	high	
とうじょうフロア	とうじょうフロア	탑승장	location_name	00/362:28,34	high	두 공항의 공통 장소명
メトロデンサンくうこう駅	メトロデンサンくうこうえき	메트로 덴산 공항역	location_name	00/362:29	high	
アメロッパくうこう入口	アメロッパくうこういりぐち	아메롭파 공항 입구	location_name	00/362:33	high	
アメロッパーク	アメロッパーク	아메롭파크	location_name	00/362:38	high	기존 대사 용례 유지
アメロッパタウン	アメロッパタウン	아메롭파 타운	location_name	00/362:39	high	
うらどおり	うらどおり	뒷골목	location_name	00/362:40	high	
ホテルのへや	ホテルのへや	호텔방	location_name	00/362:41	high	
ほうせきてん	ほうせきてん	보석점	location_name	00/362:42	high	
アメロッパじょう	アメロッパじょう	아메롭파 성	location_name	00/362:43	high	
バンサンの間	バンサンのま	만찬장	location_name	00/362:44	high	기존 대사 용례 유지
ならくの間	ならくのま	나락의 방	location_name	00/362:45	high	
やじりの間	やじりのま	화살촉의 방	location_name	00/362:46	high	
つりてんじょうの間	つりてんじょうのま	낙하 천장의 방	location_name	00/362:47	medium	성의 낙하 천장 함정 문맥
おしろ ちかかいだん	おしろ ちかかいだん	성 지하 계단	location_name	00/362:48	high	
かえんの間	かえんのま	화염의 방	location_name	00/362:49	high	
とまどいの間	とまどいのま	미혹의 방	location_name	00/362:50	high	
おしろ ちじょうかいだん	おしろ ちじょうかいだん	성 지상 계단	location_name	00/362:51	high	
おしろ ものみのとう	おしろ ものみのとう	성 전망탑	location_name	00/362:52	high	
じょうむいんべや まえ	じょうむいんべや まえ	승무원실 앞	location_name	00/362:53	high	
エコノミークラス	エコノミークラス	이코노미 클래스	location_name	00/362:54	high	
ビジネスクラス	ビジネスクラス	비즈니스 클래스	location_name	00/362:55	high	
ファーストクラス	ファーストクラス	퍼스트 클래스	location_name	00/362:56	high	
コクピット	コクピット	조종실	location_name	00/362:57	high	
ガスゆわかしきの電脳1	ガスゆわかしきのでんのういち	가스 온수기의 전뇌 1	location_name	00/362:69	high	
ガスゆわかしきの電脳2	ガスゆわかしきのでんのうに	가스 온수기의 전뇌 2	location_name	00/362:70	high	
きばくそうちの電脳1	きばくそうちのでんのういち	기폭 장치의 전뇌 1	location_name	00/362:71	high	
きばくそうちの電脳2	きばくそうちのでんのうに	기폭 장치의 전뇌 2	location_name	00/362:72	high	
きばくそうちの電脳3	きばくそうちのでんのうさん	기폭 장치의 전뇌 3	location_name	00/362:73	high	
きばくそうちの電脳4	きばくそうちのでんのうよん	기폭 장치의 전뇌 4	location_name	00/362:74	high	
マザーコンピュータ電脳1	マザーコンピュータでんのういち	마더 컴퓨터의 전뇌 1	location_name	00/362:75	high	
マザーコンピュータ電脳2	マザーコンピュータでんのうに	마더 컴퓨터의 전뇌 2	location_name	00/362:76	high	
マザーコンピュータ電脳3	マザーコンピュータでんのうさん	마더 컴퓨터의 전뇌 3	location_name	00/362:77	high	
マザーコンピュータ電脳4	マザーコンピュータでんのうよん	마더 컴퓨터의 전뇌 4	location_name	00/362:78	high	
マザーコンピュータ電脳5	マザーコンピュータでんのうご	마더 컴퓨터의 전뇌 5	location_name	00/362:79	high	
おしろの電脳1	おしろのでんのういち	성의 전뇌 1	location_name	00/362:80	high	
おしろの電脳2	おしろのでんのうに	성의 전뇌 2	location_name	00/362:81	high	
おしろの電脳3	おしろのでんのうさん	성의 전뇌 3	location_name	00/362:82	high	
おしろの電脳4	おしろのでんのうよん	성의 전뇌 4	location_name	00/362:83	high	
おしろの電脳5	おしろのでんのうご	성의 전뇌 5	location_name	00/362:84	high	
ひこうきの電脳1	ひこうきのでんのういち	비행기의 전뇌 1	location_name	00/362:88	high	
ひこうきの電脳2	ひこうきのでんのうに	비행기의 전뇌 2	location_name	00/362:89	high	
ひこうきの電脳3	ひこうきのでんのうさん	비행기의 전뇌 3	location_name	00/362:90	high	
ひこうきの電脳4	ひこうきのでんのうよん	비행기의 전뇌 4	location_name	00/362:91	high	
ひこうきの電脳5	ひこうきのでんのうご	비행기의 전뇌 5	location_name	00/362:92	high	
マンションの電脳1	マンションの電脳1	맨션의 전뇌 1	location_name	00/362:95	high	
マンションの電脳2	マンションの電脳2	맨션의 전뇌 2	location_name	00/362:96	high	
マンションの電脳3	マンションの電脳3	맨션의 전뇌 3	location_name	00/362:97	high	
マンションの電脳4	マンションの電脳4	맨션의 전뇌 4	location_name	00/362:98	high	
ゴスペルサーバーの電脳1	ゴスペルサーバーの電脳1	고스펠 서버의 전뇌 1	location_name	00/362:99	high	
ゴスペルサーバーの電脳2	ゴスペルサーバーの電脳2	고스펠 서버의 전뇌 2	location_name	00/362:100	high	
熱斗のパソコン	熱斗のパソコン	넷토의 컴퓨터	location_name	00/362:102	high	
メイルのパソコン	メイルのパソコン	메일의 컴퓨터	location_name	00/362:103	high	
デカオのパソコン	デカオのパソコン	데카오의 컴퓨터	location_name	00/362:104	high	
やいとのパソコン	やいとのパソコン	야이토의 컴퓨터	location_name	00/362:105	high	
ケロのちゅうけいしゃ	ケロのちゅうけいしゃ	케로의 중계차	location_name	00/362:106	high	
ラウルのラジカセ	ラウルのラジカセ	라울의 라디오	location_name	00/362:107	high	
ミリオネアのカバン	ミリオネアのカバン	밀리어네어의 가방	location_name	00/362:108	high	
デンサンエリア1	デンサンエリア1	덴산 에어리어 1	location_name	00/362:112	high	
デンサンエリア2	デンサンエリア2	덴산 에어리어 2	location_name	00/362:113	high	
デンサンエリア3	デンサンエリア3	덴산 에어리어 3	location_name	00/362:114	high	
オフィシャルスクエア入口	オフィシャルスクエア入口	오피셜 스퀘어 입구	location_name	00/362:115	high	
けいじばんべや	けいじばんべや	게시판실	location_name	00/362:117	high	
コトブキエリア	コトブキエリア	코토부키 에어리어	location_name	00/362:118	high	
ウラコトブキエリア	ウラコトブキエリア	우라 코토부키 에어리어	location_name	00/362:119	high	
コトブキスクエア入口	コトブキスクエア入口	코토부키 스퀘어 입구	location_name	00/362:120	high	
コトブキスクエア1	コトブキスクエア1	코토부키 스퀘어 1	location_name	00/362:121	high	
コトブキスクエア2	コトブキスクエア2	코토부키 스퀘어 2	location_name	00/362:122	high	
ゴスペルほんぶ	ゴスペルほんぶ	고스펠 본부	location_name	00/362:123	high	
アジーナエリア1	アジーナエリア1	아지나 에어리어 1	location_name	00/362:124	high	
アジーナエリア2	アジーナエリア2	아지나 에어리어 2	location_name	00/362:125	high	
アジーナスクエア入口	アジーナスクエア入口	아지나 스퀘어 입구	location_name	00/362:126	high	
こくほうの間	こくほうの間	국보의 방	location_name	00/362:128	high	
アメロッパエリア1	アメロッパエリア1	아메롭파 에어리어 1	location_name	00/362:129	high	
アメロッパエリア2	アメロッパエリア2	아메롭파 에어리어 2	location_name	00/362:130	high	
アメロッパエリア3	アメロッパエリア3	아메롭파 에어리어 3	location_name	00/362:131	high	
アメロッパスクエア入口	アメロッパスクエア入口	아메롭파 스퀘어 입구	location_name	00/362:132	high	
ウラインターネット1	ウラインターネット1	우라 인터넷 1	location_name	00/362:134	high	
ウラインターネット2	ウラインターネット2	우라 인터넷 2	location_name	00/362:135	high	
ウラインターネット3	ウラインターネット3	우라 인터넷 3	location_name	00/362:136	high	
ウラインターネット4	ウラインターネット4	우라 인터넷 4	location_name	00/362:137	high	
ウラインターネット5	ウラインターネット5	우라 인터넷 5	location_name	00/362:138	high	
ウラインターネット6	ウラインターネット6	우라 인터넷 6	location_name	00/362:139	high	
ウラインターネット7	ウラインターネット7	우라 인터넷 7	location_name	00/362:140	high	
WWWエリア1	WWWエリア1	WWW 에어리어 1	location_name	00/362:141	high	
WWWエリア2	WWWエリア2	WWW 에어리어 2	location_name	00/362:142	high	
WWWエリア3	WWWエリア3	WWW 에어리어 3	location_name	00/362:143	high	
ウラスクエア入口	ウラスクエア入口	우라 스퀘어 입구	location_name	00/362:144	high	
ウラスクエア	ウラスクエア	우라 스퀘어	location_name	00/362:145	high	
ウラけいじばんべや	ウラけいじばんべや	우라 게시판실	location_name	00/362:146	high	
ブラックボードの電脳	ブラックボードの電脳	칠판의 전뇌	location_name	00/362:147	high	
こわれたオモチャの電脳	こわれたオモチャの電脳	고장 난 장난감의 전뇌	location_name	00/362:148	high	
イヌごやの電脳	イヌごやの電脳	개집의 전뇌	location_name	00/362:149	high	
コントロールパネルの電脳	コントロールパネルの電脳	컨트롤 패널의 전뇌	location_name	00/362:150	high	
ピアノの電脳	ピアノの電脳	피아노의 전뇌	location_name	00/362:151	high	
コーヒーサーバーの電脳	コーヒーサーバーの電脳	커피 서버의 전뇌	location_name	00/362:152	high	
けいたいゲームきの電脳	けいたいゲームきの電脳	휴대용 게임기의 전뇌	location_name	00/362:153	high	
でんわの電脳	でんわの電脳	전화기의 전뇌	location_name	00/362:154	high	
おじぞうさんの電脳	おじぞうさんの電脳	지장보살의 전뇌	location_name	00/362:155	high	
コンロの電脳	コンロの電脳	가스레인지의 전뇌	location_name	00/362:156	high	
クマの電脳	クマの電脳	곰 인형의 전뇌	location_name	00/362:157	high	
モニターの電脳	モニターの電脳	모니터의 전뇌	location_name	00/362:158	high	
ワイドモニターの電脳	ワイドモニターの電脳	와이드 모니터의 전뇌	location_name	00/362:159	high	
フライトボードの電脳	フライトボードの電脳	운항 안내판의 전뇌	location_name	00/362:160	high	
めんぜいてんの電脳	めんぜいてんの電脳	면세점의 전뇌	location_name	00/362:161	high	
どうぞうの電脳	どうぞうの電脳	동상의 전뇌	location_name	00/362:162	high	
れいぞうこの電脳	れいぞうこの電脳	냉장고의 전뇌	location_name	00/362:163	high	
めがみぞうの電脳	めがみぞうの電脳	여신상의 전뇌	location_name	00/362:164	high	
テレビの電脳	テレビの電脳	TV의 전뇌	location_name	00/362:165	high	
じはんきの電脳	じはんきの電脳	자판기의 전뇌	location_name	00/362:166	high	
オートロックの電脳	オートロックの電脳	자동 잠금장치의 전뇌	location_name	00/362:167	high	
マンション1かい	マンション1かい	맨션 1층	location_name	00/362:171	high	
マンション2かい	マンション2かい	맨션 2층	location_name	00/362:172	high	
マンション8かい	マンション8かい	맨션 8층	location_name	00/362:173	high	
マンション25かい	マンション25かい	맨션 25층	location_name	00/362:174	high	
マンション27かい	マンション27かい	맨션 27층	location_name	00/362:175	high	
マンション4かい	マンション4かい	맨션 4층	location_name	00/362:176	high	
マンション9かい	マンション9かい	맨션 9층	location_name	00/362:177	high	
マンション20かい	マンション20かい	맨션 20층	location_name	00/362:178	high	
マンション23かい	マンション23かい	맨션 23층	location_name	00/362:179	high	
マンション24かい	マンション24かい	맨션 24층	location_name	00/362:180	high	
マンション30かい	マンション30かい	맨션 30층	location_name	00/362:181	high	
さいじょうかいのへや	さいじょうかいのへや	최상층 방	location_name	00/362:182	high	
さいごのへや	さいごのへや	마지막 방	location_name	00/362:183	high	
021ごうしつ	021ごうしつ	021호실	location_name	00/362:184	high	
082ごうしつ	082ごうしつ	082호실	location_name	00/362:185	high	
253ごうしつ	253ごうしつ	253호실	location_name	00/362:186	high	
271ごうしつ	271ごうしつ	271호실	location_name	00/362:187	high	
042ごうしつ	042ごうしつ	042호실	location_name	00/362:188	high	
093ごうしつ	093ごうしつ	093호실	location_name	00/362:189	high	
201ごうしつ	201ごうしつ	201호실	location_name	00/362:190	high	
232ごうしつ	232ごうしつ	232호실	location_name	00/362:191	high	
ハイキャノン	ハイキャノン	하이캐논	chip_name	00/363:5-7	high	
メガキャノン	メガキャノン	메가캐논	chip_name	00/363:10-12	high	
スプレッドガン	スプレッドガン	스프레드건	chip_name	00/363:15	high	프로그램 어드밴스 조합 표기
ホウガン	ホウガン	호우건	chip_name	00/363:20	high	프로그램 어드밴스 조합 표기
ラットン1	ラットン1	라톤1	chip_name	00/363:25	high	프로그램 어드밴스 조합 표기
ラットン2	ラットン2	라톤2	chip_name	00/363:30	high	프로그램 어드밴스 조합 표기
ラットン3	ラットン3	라톤3	chip_name	00/363:35	high	프로그램 어드밴스 조합 표기
ダブルニードル	ダブルニードル	더블니들	chip_name	00/363:80	high	프로그램 어드밴스 조합 표기
トリプルニードル	トリプルニードル	트리플니들	chip_name	00/363:80	high	프로그램 어드밴스 조합 표기
テトラニードル	テトラニードル	테트라니들	chip_name	00/363:80	high	프로그램 어드밴스 조합 표기
スモールボム	スモールボム	스몰봄	chip_name	00/363:85	high	프로그램 어드밴스 조합 표기
クロスボム	クロスボム	크로스봄	chip_name	00/363:85	high	프로그램 어드밴스 조합 표기
ビッグボム	ビッグボム	빅봄	chip_name	00/363:85	high	프로그램 어드밴스 조합 표기
ソード	ソード	소드	chip_name	00/363:90	high	프로그램 어드밴스 조합 표기
ワイドソード	ワイドソード	와이드소드	chip_name	00/363:90	high	프로그램 어드밴스 조합 표기
ロングソード	ロングソード	롱소드	chip_name	00/363:90	high	프로그램 어드밴스 조합 표기
フレイムソード	フレイムソード	플레임소드	chip_name	00/363:95	high	프로그램 어드밴스 조합 표기
アクアソード	アクアソード	아쿠아소드	chip_name	00/363:95	high	프로그램 어드밴스 조합 표기
エレキソード	エレキソード	일렉소드	chip_name	00/363:95	high	프로그램 어드밴스 조합 표기
フレイムブレード	フレイムブレード	플레임블레이드	chip_name	00/363:100	high	프로그램 어드밴스 조합 표기
アクアブレード	アクアブレード	아쿠아블레이드	chip_name	00/363:100	high	프로그램 어드밴스 조합 표기
エレキブレード	エレキブレード	일렉블레이드	chip_name	00/363:100	high	프로그램 어드밴스 조합 표기
ガッツパンチ	ガッツパンチ	거츠펀치	chip_name	00/363:105	high	프로그램 어드밴스 조합 표기
コールドパンチ	コールドパンチ	콜드펀치	chip_name	00/363:105	high	프로그램 어드밴스 조합 표기
ダッシュアタック	ダッシュアタック	대시어택	chip_name	00/363:105	high	프로그램 어드밴스 조합 표기
カースシールド1	カースシールド1	커스실드1	chip_name	00/363:110	high	프로그램 어드밴스 조합 표기
カースシールド2	カースシールド2	커스실드2	chip_name	00/363:110	high	프로그램 어드밴스 조합 표기
カースシールド3	カースシールド3	커스실드3	chip_name	00/363:110	high	프로그램 어드밴스 조합 표기
カウントボム1	カウントボム1	카운트봄1	chip_name	00/363:115	high	프로그램 어드밴스 조합 표기
カウントボム2	カウントボム2	카운트봄2	chip_name	00/363:115	high	프로그램 어드밴스 조합 표기
カウントボム3	カウントボム3	카운트봄3	chip_name	00/363:115	high	프로그램 어드밴스 조합 표기
アースクエイク1	アースクエイク1	어스퀘이크1	chip_name	00/363:120	high	프로그램 어드밴스 조합 표기
アースクエイク2	アースクエイク2	어스퀘이크2	chip_name	00/363:120	high	프로그램 어드밴스 조합 표기
アースクエイク3	アースクエイク3	어스퀘이크3	chip_name	00/363:120	high	프로그램 어드밴스 조합 표기
ポイズンマスク	ポイズンマスク	포이즌마스크	chip_name	00/363:125	high	프로그램 어드밴스 조합 표기
ポイズンフェイス	ポイズンフェイス	포이즌페이스	chip_name	00/363:125	high	프로그램 어드밴스 조합 표기
ポイズンアヌビス	ポイズンアヌビス	포이즌아누비스	chip_name	00/363:125	high	프로그램 어드밴스 조합 표기
トップウ	トップウ	돌풍	chip_name	00/363:130	high	프로그램 어드밴스 조합 표기
スイコミ	スイコミ	흡입	chip_name	00/363:130	high	프로그램 어드밴스 조합 표기
ホーリーパネル	ホーリーパネル	홀리패널	chip_name	00/363:140	high	프로그램 어드밴스 조합 표기
リカバリー300	リカバリー300	리커버리300	chip_name	00/363:140	high	프로그램 어드밴스 조합 표기
ロール	ロール	롤	chip_name	00/363:140	high	프로그램 어드밴스 조합 표기
ロールV2	ロールV2	롤V2	chip_name	00/363:141	high	프로그램 어드밴스 조합 표기
ロールV3	ロールV3	롤V3	chip_name	00/363:142	high	프로그램 어드밴스 조합 표기
テンジョウウラ	テンジョウウラ	천장뒤	chip_name	00/363:145	high	프로그램 어드밴스 조합 표기
カワリミ	カワリミ	카와리미	chip_name	00/363:145	high	프로그램 어드밴스 조합 표기
カスタムソード	カスタムソード	커스텀소드	chip_name	00/363:150	high	프로그램 어드밴스 조합 표기
バリアブルソード	バリアブルソード	배리어블소드	chip_name	00/363:150	high	프로그램 어드밴스 조합 표기
フォルテV3	フォルテV3	포르테V3	chip_name	00/363:155	high	프로그램 어드밴스 조합 표기
ナビスカウト	ナビスカウト	내비스카우트	chip_name	00/363:155	high	프로그램 어드밴스 조합 표기
ファイアゴスペル	ファイアゴスペル	파이어고스펠	chip_name	00/363:155	high	프로그램 어드밴스 조합 표기
アクアゴスペル	アクアゴスペル	아쿠아고스펠	chip_name	00/363:156	high	프로그램 어드밴스 조합 표기
エレキゴスペル	エレキゴスペル	일렉고스펠	chip_name	00/363:157	high	프로그램 어드밴스 조합 표기
ウッドゴスペル	ウッドゴスペル	우드고스펠	chip_name	00/363:158	high	프로그램 어드밴스 조합 표기
アジーナこく	アジーナこく	아지나국	location	00/366:80	high	국가명 표기
ヤミいしゃ	ヤミいしゃ	암흑 의사	character_title	00/366:204	high	00/145의 기존 서사 용례 유지
ウラけいじばん	ウラけいじばん	우라 게시판	location_feature	00/366:207	high	게시판실과 구분
あおのかけら	あおのかけら	파란 조각	story_item	00/366:216	high	00/303~00/306의 서사 용례 유지
マザーコンピュータ	マザーコンピュータ	마더 컴퓨터	device	00/367:123	high	전뇌 명칭과 표기 통일
メインシステム	メインシステム	메인 시스템	device	00/367:131	high	
アジーナエリア	アジーナエリア	아지나 에어리어	location	00/366:200	high	번호 없는 범용 지역명
炎山	えんざん	엔잔	character_name	00/366:221	high	기존 대사 용례 유지
きばくそうち	きばくそうち	기폭 장치	device	00/368:71	high	전뇌 지역명의 기존 표기와 통일
きばくプログラム	きばくプログラム	기폭 프로그램	program	00/368:71	high	사건 장치 제어 프로그램
ジム	ジム	짐	character_name	00/370:157	high	기존 아메롭파 대사 용례 유지
プリンセスさん	プリンセスさん	프린세스 씨	character_title	00/371:169	high	프린세스 프라이드의 호칭
ギアせいぎょプログラム	ギアせいぎょプログラム	기어 제어 프로그램	device_program	00/372:187	high	항공기 장치 제어 프로그램
うよくエンジンプログラム	うよくエンジンプログラム	오른쪽 날개 엔진 프로그램	device_program	00/372:196	high	항공기 장치 제어 프로그램
びよくプログラム	びよくプログラム	꼬리 날개 프로그램	device_program	00/372:197	high	항공기 장치 제어 프로그램
きあつちょうせいプログラム	きあつちょうせいプログラム	기압 조절 프로그램	device_program	00/372:198	high	항공기 장치 제어 프로그램
スロットルプログラム	スロットルプログラム	스로틀 프로그램	device_program	00/372:199	high	항공기 장치 제어 프로그램
ガスゆわかしき	ガスゆわかしき	가스 온수기	device	00/375:33	high	가정용 가스 장치
かんきせん	かんきせん	환풍기	device	00/375:33	high	환기 장치
セキュリティトビラ	セキュリティトビラ	보안문	device	00/377:130	high	잠금 해제 대상 문
しみんネットバトラー	しみんネットバトラー	시민 넷배틀러	license_title	00/381:16	high	오피셜 시험 명칭
じょうほうけいじばん	じょうほうけいじばん	정보 게시판	location_feature	00/381:106	high	일반 정보 수집 게시판
コンパネ	コンパネ	제어판	device	00/382:30	high	컨트롤 패널의 구어형 약칭
電子ピアノ	でんしピアノ	전자 피아노	device	00/382:40	high	가정용 전자 악기
じこくひょう	じこくひょう	시간표	information_display	00/382:130	high	공항 운항 시간표
ようどうさくせん	ようどうさくせん	양동 작전	operation	00/383:122	high	적의 주의를 돌리는 작전
ゴスペルのほんきょち	ゴスペルのほんきょち	고스펠의 본거지	location	00/384:223	high	고스펠 조직의 근거지
ゴスペルのアジト	ゴスペルのアジト	고스펠의 아지트	location	00/384:224	high	본거지 내부를 가리키는 표현
でんのうのき	でんのうのき	전뇌 나무	world_feature	00/385:92	high	전뇌 세계에 우거진 나무
光さん	ひかりさん	히카리 씨	character_reference	00/394:1	high	히카리 가문을 성으로 부르는 호칭
さくらいさん	さくらいさん	사쿠라이 씨	character_reference	00/394:1	high	메일의 가문을 성으로 부르는 호칭
デンサンシティ	デンサンシティ	덴산 시티	location	00/394:2	high	아키하라 마을이 속한 도시
チップフォルダ	チップフォルダ	칩 폴더	game_term	00/394:4	high	배틀칩을 구성하는 폴더
ウイルスバスティング	ウイルスバスティング	바이러스 버스팅	game_term	00/394:7	high	내비로 바이러스를 제거하는 행위
